Resultados del programa >> Track Vt
Ultimos parametros empleados:
Periodo de muestreo (ms): 30000
Offset (V): 0.000000
Observaciones: 
Canal 	Habilitado	V bias (V) 	I aplicado (uA) 	PGA (indice)	Nombre
Canal1	TRUE	0.000000E+0	1.000000E+0	0	
Canal2	FALSE	4.000000E+0	4.000000E+1	0	
Canal3	FALSE	4.000000E+0	4.000000E+1	0	
Canal4	FALSE	4.000000E+0	4.000000E+1	0	
Canal5	FALSE	4.000000E+0	4.000000E+1	0	
Canal6	FALSE	4.000000E+0	4.000000E+1	0	
Canal7	FALSE	4.000000E+0	4.000000E+1	0	
Canal8	FALSE	4.000000E+0	4.000000E+1	0	
*** FIN DE HEADER ***

waveform	[0]	[1]	[2]	[3]	[4]	[5]	[6]	[7]	[8]	[9]	[10]	[11]
t0	31/12/1903  21:00:00.000000	31/12/1903  21:00:00.000000	31/12/1903  21:00:00.000000	31/12/1903  21:00:00.000000	31/12/1903  21:00:00.000000	31/12/1903  21:00:00.000000	31/12/1903  21:00:00.000000	31/12/1903  21:00:00.000000	31/12/1903  21:00:00.000000	31/12/1903  21:00:00.000000	31/12/1903  21:00:00.000000	31/12/1903  21:00:00.000000
delta t	30.000000	30.000000	30.000000	30.000000	30.000000	30.000000	30.000000	30.000000	30.000000	30.000000	30.000000	30.000000

time	Y[0]	Y[1]	Y[2]	Y[3]	Y[4]	Y[5]	Y[6]	Y[7]	Y[8]	Y[9]	Y[10]	Y[11]
31/12/1903  21:00:00.000000	2.514548E+1	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	3.196639E+1	2.721465E+1	0.000000E+0	0.000000E+0
31/12/1903  21:00:30.000000	2.514213E+1	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	3.192157E+1	2.695537E+1	0.000000E+0	0.000000E+0
31/12/1903  21:01:00.000000	2.513198E+1	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	3.192157E+1	2.726625E+1	0.000000E+0	0.000000E+0
31/12/1903  21:01:30.000000	2.512517E+1	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	3.187669E+1	2.716297E+1	0.000000E+0	0.000000E+0
31/12/1903  21:02:00.000000	2.511906E+1	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	3.187669E+1	2.726625E+1	0.000000E+0	0.000000E+0
31/12/1903  21:02:30.000000	2.511220E+1	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	3.201116E+1	2.695537E+1	0.000000E+0	0.000000E+0
31/12/1903  21:03:00.000000	2.510640E+1	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	3.196639E+1	2.711119E+1	0.000000E+0	0.000000E+0
31/12/1903  21:03:30.000000	2.510285E+1	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	3.165143E+1	2.616446E+1	0.000000E+0	0.000000E+0
31/12/1903  21:04:00.000000	2.509780E+1	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	3.196639E+1	2.726625E+1	0.000000E+0	0.000000E+0
31/12/1903  21:04:30.000000	2.509172E+1	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	3.201116E+1	2.685106E+1	5.000000E+0	0.000000E+0
31/12/1903  21:05:00.000000	2.508950E+1	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	3.192157E+1	2.695537E+1	0.000000E+0	0.000000E+0
31/12/1903  21:05:30.000000	2.508210E+1	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	3.201116E+1	2.711119E+1	0.000000E+0	0.000000E+0
31/12/1903  21:06:00.000000	2.508050E+1	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	3.192157E+1	2.679878E+1	0.000000E+0	0.000000E+0
31/12/1903  21:06:30.000000	2.507838E+1	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	3.263199E+1	2.736921E+1	1.700000E+1	0.000000E+0
31/12/1903  21:07:00.000000	2.507522E+1	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	3.201116E+1	2.705934E+1	0.000000E+0	0.000000E+0
31/12/1903  21:07:30.000000	2.507248E+1	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	3.192157E+1	2.700740E+1	0.000000E+0	0.000000E+0
